Strain,Total Reads,Total < 170,Total > 170,CN = 1,CN > 5,CN > 20,CN > 50,CN > 100
MSUS-CI-82-TSW38-B01,245778,7687,86335,65622,2865,919,399,224
MSUS-CI-82-TSW46,85935,4090,52149,42997,1191,186,11,0
MSUS-CI-82-TSW53,281226,10678,121573,98797,4107,849,470,159
MSUS-CI-82-TSW62-bis,201867,9041,95384,74600,3510,659,210,21
MSUS-CI-82-TSW65-KP1-bis,188032,8552,89162,69651,3457,615,193,9
MSUS-CI-82-TSW65-KP1-exbiit,172517,4865,72848,51169,3367,849,117,12
MSUS-CI-82-TSW75,126879,6485,60496,46359,1613,641,81,11
MSUS-CI-82-TSW8,150709,7082,78409,62741,2414,559,84,0
MSUS-CI-82-TSW84,175271,6447,78472,60320,3362,784,170,7
MSUS-CI-82-TSW95,106123,2753,46879,33864,1995,544,81,2
MSUS-CI-83-TSW12,209715,7809,84490,67483,2155,883,253,179
MSUS-CI-85-PTAG-130,210672,4821,79951,57480,3487,699,398,103
MSUS-NG-62-B8-18-cloneB,212572,5764,81161,57315,3813,880,375,53
MTRG-BF-80-TS2,221669,7241,88805,65218,3700,741,335,112
Muraz3,74535,2807,43145,35476,1384,207,3,0
NTUMA,178091,3280,52612,42773,2047,679,280,277
OVI,51592,1064,20295,13127,1305,167,64,0
P16F,127546,5030,48641,35738,2724,711,152,0
P26F,13526,689,6498,5139,158,96,0,0
P8F,53484,2142,28439,22358,1331,107,0,0
PEYA,71267,1613,36799,31092,1805,305,14,0
Philippines,84186,1535,29846,20647,1864,471,122,12
R47,16863,408,10431,8284,352,2,0,0
Seka,65613,1554,33099,27444,1445,329,9,0
SitaBip1,10,0,10,10,0,0,0,0
SN54-TREU96,82005,3513,40509,31347,1200,311,61,7
STIB-816,86734,2180,28680,19718,2450,543,57,0
STIB818,73162,2014,26336,16823,1932,277,61,11
STIB847,583352,12942,143443,94264,11607,1919,412,546
STIB882,674724,12970,162237,107327,12746,2069,356,689
STIB883,568074,12123,144449,98290,9940,1650,422,550
SVP,100100,2815,33659,21110,3045,475,55,6
Te-Ap-N-D1,32910,879,15497,10008,928,45,0,0
Te-Ap-N-D1-bis,55683,2459,27253,20091,1315,137,4,0
TRPZ26,1120673,36033,374575,290118,15058,1977,300,950
UTAT-1-1,1211923,38645,382874,299233,17124,2911,672,907
Y58,77,10,67,67,0,0,0,0
YAOUNDE,2709944,59575,568289,417750,34492,7870,2427,1822
Zagora-I-17,155432,3759,49448,31999,4062,750,211,33
