Strain,Type,Total,QC_passed,QC_failed,Secondary,Supplementary,Duplicates,Mapped,Mapped_percent,Paired,Read1,Read2,Properly_paired,Properly_paired_percent,Self_and_mate_mapped,Singletons,Singletons_percent,Mate_mapped_diff_chr,Mate_mapped_diff_chr_mapQ_ge_5
F33,Normal,24070889 24070889 0 0 180653 0 337693 0 23890236 11945118 11945118 21741066 0 22611878 126238 0 337693 337693
F33,TBR,37067 37067 0 0 45 0 188 0 37022 18504 18518 36306 0 37002 10 0 188 188
F39,Normal,24070142 24070142 0 0 185750 0 364291 0 23884392 11942196 11942196 21517266 0 22442310 125090 0 364291 364291
F39,TBR,40038 40038 0 0 77 0 218 0 39961 19989 19972 38992 0 39939 11 0 218 218
F39UG,Normal,29862946 29862946 0 0 218908 0 460759 0 29644038 14822019 14822019 26717388 0 27848644 153473 0 460759 460759
F39UG,TBR,43369 43369 0 0 62 0 246 0 43307 21652 21655 42114 0 43255 26 0 246 246
F41,Normal,24080957 24080957 0 0 182071 0 340943 0 23898886 11949443 11949443 21694970 0 22566558 133143 0 340943 340943
F41,TBR,35645 35645 0 0 83 0 244 0 35562 17759 17803 34686 0 35548 7 0 244 244
F42,Normal,22052763 22052763 0 0 170311 0 304567 0 21882452 10941226 10941226 19820032 0 20616106 112628 0 304567 304567
F42,TBR,39976 39976 0 0 72 0 205 0 39904 19961 19943 39052 0 39886 9 0 205 205
FEO,Normal,48938394 48938394 0 0 566952 0 1174270 0 48371442 24185721 24185721 39193614 0 42076304 641391 0 1174270 1174270
FEO,TBR,2265963 2265963 0 0 4187 0 23688 0 2261776 1130939 1130837 2165826 0 2258360 1708 0 23688 23688
FEO-AnTat-16-1,Normal,48600199 48600199 0 0 588393 0 1227156 0 48011806 24005903 24005903 39159042 0 42143104 719475 0 1227156 1227156
FEO-AnTat-16-1,TBR,2151591 2151591 0 0 4127 0 20881 0 2147464 1073617 1073847 2067360 0 2144538 1463 0 20881 20881
Feo-AnTat-16-1-bis,Normal,37864411 37864411 0 0 464015 0 808184 0 37400396 18700198 18700198 30977408 0 33000488 353210 0 808184 808184
Feo-AnTat-16-1-bis,TBR,1646675 1646675 0 0 3134 0 20353 0 1643541 821709 821832 1560394 0 1640743 1399 0 20353 20353
